"","案件","縣市","地區","同意票數","不同意票數","有效票數","無效票數","投票數","投票權人數","投票率...","有效同意票數對投票權人數百分比...","有效不同意票數對投票權人數百分比...","有效同意與不同意票數對投票權人數百分比...差值","同意票數對票數比率","縣市首長得票率","縣市首長得票數","公投同意率對縣市首長得票率差距"
"1","第10案","全國","","7,658,008","2,907,429","10,565,437","459,508","11,024,945","19,757,067","55.8%","38.76%","14.72%",24.04,0.7248,NA,NA,NA
"2","第10案","連江縣","","4,341","1,249","5,590","179","5,769","11,205","51.49%","38.74%","11.15%",27.59,0.7766,NA,NA,NA
"3","第10案","連江縣","南竿鄉","2,485","691","3,176","101","3,277","6,461","50.72%","38.46%","10.69%",27.77,0.7824,0.6212,2594,0.1612
"4","第10案","連江縣","北竿鄉","832","234","1,066","44","1,110","2,125","52.24%","39.15%","11.01%",28.14,0.7805,0.7738,1139,0.00670000000000004
"5","第10案","連江縣","莒光鄉","592","182","774","22","796","1,481","53.75%","39.97%","12.29%",27.68,0.7649,0.6716,732,0.0933
"6","第10案","連江縣","東引鄉","432","142","574","12","586","1,138","51.49%","37.96%","12.48%",25.48,0.7526,0.591,396,0.1616
"7","第10案","金門縣","","32,991","8,977","41,968","2,006","43,974","122,695","35.84%","26.89%","7.32%",19.57,0.7861,NA,NA,NA
"8","第10案","金門縣","金城鎮","10,065","2,610","12,675","596","13,271","37,815","35.09%","26.62%","6.90%",19.72,0.7941,0.5428,8137,0.2513
"9","第10案","金門縣","金沙鎮","5,217","1,043","6,260","316","6,576","18,560","35.43%","28.11%","5.62%",22.49,0.8334,0.3856,2974,0.4478
"10","第10案","金門縣","金湖鎮","7,214","1,841","9,055","457","9,512","25,915","36.7%","27.84%","7.10%",20.74,0.7967,0.3907,4204,0.406
"11","第10案","金門縣","金寧鄉","7,058","2,711","9,769","419","10,188","28,162","36.18%","25.06%","9.63%",15.43,0.7225,0.5492,5989,0.1733
"12","第10案","金門縣","烈嶼鄉","3,304","748","4,052","210","4,262","11,676","36.5%","28.3%","6.41%",21.89,0.8154,0.4628,2154,0.3526
"13","第10案","金門縣","烏坵鄉","133","24","157","8","165","567","29.1%","23.46%","4.23%",19.23,0.8471,0.2967,62,0.5504
