"","案件","縣市","地區","同意票數","不同意票數","有效票數","無效票數","投票數","投票權人數","投票率...","有效同意票數對投票權人數百分比...","有效不同意票數對投票權人數百分比...","有效同意與不同意票數對投票權人數百分比...差值","同意票數對票數比率","縣市首長得票率","縣市首長得票數","公投同意率對縣市首長得票率差距"
"1","第12案","全國","","6,401,748","4,072,471","10,474,219","540,757","11,014,976","19,757,067","55.75%","32.4%","20.61%",11.79,0.6112,NA,NA,NA
"2","第12案","連江縣","","3,599","1,925","5,524","240","5,764","11,205","51.44%","32.12%","17.18%",14.94,0.6515,NA,NA,NA
"3","第12案","連江縣","南竿鄉","2,094","1,064","3,158","125","3,283","6,461","50.81%","32.41%","16.47%",15.94,0.6631,0.6212,2594,0.0419
"4","第12案","連江縣","北竿鄉","713","347","1,060","51","1,111","2,125","52.28%","33.55%","16.33%",17.22,0.6726,0.7738,1139,-0.1012
"5","第12案","連江縣","莒光鄉","467","289","756","36","792","1,481","53.48%","31.53%","19.51%",12.02,0.6177,0.6716,732,-0.0538999999999999
"6","第12案","連江縣","東引鄉","325","225","550","28","578","1,138","50.79%","28.56%","19.77%",8.79,0.5909,0.591,396,-9.9999999999989e-05
"7","第12案","金門縣","","26,932","14,773","41,705","2,222","43,927","122,695","35.8%","21.95%","12.04%",9.91,0.6458,NA,NA,NA
"8","第12案","金門縣","金城鎮","8,177","4,455","12,632","612","13,244","37,815","35.02%","21.62%","11.78%",9.84,0.6473,0.5428,8137,0.1045
"9","第12案","金門縣","金沙鎮","4,266","1,966","6,232","342","6,574","18,560","35.42%","22.98%","10.59%",12.39,0.6845,0.3856,2974,0.2989
"10","第12案","金門縣","金湖鎮","5,863","3,118","8,981","515","9,496","25,915","36.64%","22.62%","12.03%",10.59,0.6528,0.3907,4204,0.2621
"11","第12案","金門縣","金寧鄉","5,802","3,895","9,697","496","10,193","28,162","36.19%","20.6%","13.83%",6.77,0.5983,0.5492,5989,0.0491
"12","第12案","金門縣","烈嶼鄉","2,711","1,293","4,004","251","4,255","11,676","36.44%","23.22%","11.07%",12.15,0.6771,0.4628,2154,0.2143
"13","第12案","金門縣","烏坵鄉","113","46","159","6","165","567","29.1%","19.93%","8.11%",11.82,0.7107,0.2967,62,0.414
"14","第12案","宜蘭縣","","119,746","83,726","203,472","12,663","216,135","386,089","55.98%","31.02%","21.69%",9.33,0.5885,NA,NA,NA
"15","第12案","宜蘭縣","宜蘭市","25,673","17,297","42,970","2,111","45,081","79,167","56.94%","32.43%","21.85%",10.58,0.5975,0.4845,23891,0.113
"16","第12案","宜蘭縣","羅東鎮","18,673","12,875","31,548","1,743","33,291","57,686","57.71%","32.37%","22.32%",10.05,0.5919,0.5271,18457,0.0648
