"","案件","縣市","地區","同意票數","不同意票數","有效票數","無效票數","投票數","投票權人數","投票率...","有效同意票數對投票權人數百分比...","有效不同意票數對投票權人數百分比...","有效同意與不同意票數對投票權人數百分比...差值","同意票數對票數比率","縣市首長得票率","縣市首長得票數","公投同意率對縣市首長得票率差距"
"17","第12案","宜蘭縣","蘇澳鎮","10,125","7,865","17,990","1,472","19,462","34,512","56.39%","29.34%","22.79%",6.55,0.5628,0.4944,11341,0.0684
"18","第12案","宜蘭縣","頭城鎮","7,489","5,317","12,806","1,006","13,812","25,135","54.95%","29.8%","21.15%",8.65,0.5848,0.549,9405,0.0358000000000001
"19","第12案","宜蘭縣","礁溪鄉","9,089","6,782","15,871","1,029","16,900","31,084","54.37%","29.24%","21.82%",7.42,0.5727,0.4591,9698,0.1136
"20","第12案","宜蘭縣","壯圍鄉","6,976","4,687","11,663","891","12,554","21,447","58.53%","32.53%","21.85%",10.68,0.5981,0.4566,6978,0.1415
"21","第12案","宜蘭縣","員山鄉","8,311","5,917","14,228","1,048","15,276","28,131","54.3%","29.54%","21.03%",8.51,0.5841,0.4278,7844,0.1563
"22","第12案","宜蘭縣","冬山鄉","13,199","9,936","23,135","1,316","24,451","45,405","53.85%","29.07%","21.88%",7.19,0.5705,0.4583,13141,0.1122
"23","第12案","宜蘭縣","五結鄉","10,228","7,412","17,640","1,126","18,766","34,892","53.78%","29.31%","21.24%",8.07,0.5798,0.4707,10354,0.1091
"24","第12案","宜蘭縣","三星鄉","5,535","3,892","9,427","648","10,075","19,051","52.88%","29.05%","20.43%",8.62,0.5871,0.4748,6053,0.1123
"25","第12案","宜蘭縣","大同鄉","2,548","867","3,415","145","3,560","4,935","72.14%","51.63%","17.57%",34.06,0.7461,0.8602,3360,-0.1141
"26","第12案","宜蘭縣","南澳鄉","1,900","879","2,779","128","2,907","4,644","62.6%","40.91%","18.93%",21.98,0.6837,0.8873,3245,-0.2036
"27","第12案","新竹縣","","150,580","92,309","242,889","10,969","253,858","445,051","57.04%","33.83%","20.74%",13.09,0.62,NA,NA,NA
"28","第12案","新竹縣","竹北市","47,451","29,863","77,314","2,796","80,110","137,129","58.42%","34.6%","21.78%",12.82,0.6137,0.335,27664,0.2787
"29","第12案","新竹縣","竹東鎮","25,690","15,323","41,013","1,817","42,830","78,794","54.36%","32.6%","19.45%",13.15,0.6264,0.4205,19629,0.2059
"30","第12案","新竹縣","新埔鎮","9,575","5,965","15,540","831","16,371","28,894","56.66%","33.14%","20.64%",12.5,0.6162,0.3599,6982,0.2563
"31","第12案","新竹縣","關西鎮","8,351","4,999","13,350","783","14,133","24,712","57.19%","33.79%","20.23%",13.56,0.6255,0.357,6017,0.2685
"32","第12案","新竹縣","湖口鄉","21,141","13,123","34,264","1,569","35,833","63,511","56.42%","33.29%","20.66%",12.63,0.617,0.3987,15866,0.2183
"33","第12案","新竹縣","新豐鄉","15,412","9,190","24,602","1,075","25,677","45,790","56.08%","33.66%","20.07%",13.59,0.6265,0.3397,9826,0.2868
"34","第12案","新竹縣","芎林鄉","6,128","3,570","9,698","545","10,243","17,293","59.23%","35.44%","20.64%",14.8,0.6319,0.4007,4876,0.2312
"35","第12案","新竹縣","橫山鄉","3,721","2,562","6,283","459","6,742","11,346","59.42%","32.8%","22.58%",10.22,0.5922,0.4423,3624,0.1499
"36","第12案","新竹縣","北埔鄉","2,705","1,710","4,415","247","4,662","8,180","56.99%","33.07%","20.90%",12.17,0.6127,0.4627,2769,0.15
"37","第12案","新竹縣","寶山鄉","4,360","2,952","7,312","373","7,685","12,973","59.24%","33.61%","22.75%",10.86,0.5963,0.4593,4172,0.137
"38","第12案","新竹縣","峨眉鄉","1,841","1,018","2,859","215","3,074","5,068","60.66%","36.33%","20.09%",16.24,0.6439,0.5352,2218,0.1087
"39","第12案","新竹縣","尖石鄉","2,848","1,278","4,126","169","4,295","7,364","58.32%","38.67%","17.35%",21.32,0.6903,0.5139,2836,0.1764
"40","第12案","新竹縣","五峰鄉","1,357","756","2,113","90","2,203","3,997","55.12%","33.95%","18.91%",15.04,0.6422,0.4533,1398,0.1889
"41","第12案","苗栗縣","","153,026","95,793","248,819","14,539","263,358","461,580","57.06%","33.15%","20.75%",12.4,0.615,NA,NA,NA
"42","第12案","苗栗縣","苗栗市","25,845","15,204","41,049","1,875","42,924","74,249","57.81%","34.81%","20.48%",14.33,0.6296,0.6127,28376,0.0169
"43","第12案","苗栗縣","苑裡鎮","12,787","8,254","21,041","1,412","22,453","38,890","57.73%","32.88%","21.22%",11.66,0.6077,0.5492,14322,0.0585
"44","第12案","苗栗縣","通霄鎮","9,439","5,897","15,336","979","16,315","29,709","54.92%","31.77%","19.85%",11.92,0.6155,0.4322,8970,0.1833
"45","第12案","苗栗縣","竹南鎮","22,781","14,039","36,820","1,791","38,611","68,528","56.34%","33.24%","20.49%",12.75,0.6187,0.5416,22785,0.0771000000000001
"46","第12案","苗栗縣","頭份市","28,607","16,747","45,354","2,239","47,593","83,617","56.92%","34.21%","20.03%",14.18,0.6307,0.6189,32143,0.0118
"47","第12案","苗栗縣","後龍鎮","9,377","6,583","15,960","1,180","17,140","30,948","55.38%","30.3%","21.27%",9.03,0.5875,0.4467,9556,0.1408
"48","第12案","苗栗縣","卓蘭鎮","4,969","3,120","8,089","602","8,691","14,772","58.83%","33.64%","21.12%",12.52,0.6143,0.6194,6717,-0.00509999999999999
"49","第12案","苗栗縣","大湖鄉","3,818","2,459","6,277","492","6,769","12,653","53.5%","30.17%","19.43%",10.74,0.6083,0.6184,5382,-0.0101000000000001
"50","第12案","苗栗縣","公館鄉","9,209","6,429","15,638","1,092","16,730","28,318","59.08%","32.52%","22.70%",9.82,0.5889,0.614,11545,-0.0251
"51","第12案","苗栗縣","銅鑼鄉","4,785","3,303","8,088","556","8,644","15,424","56.04%","31.02%","21.41%",9.61,0.5916,0.5922,6331,-0.000599999999999934
"52","第12案","苗栗縣","南庄鄉","2,369","1,691","4,060","283","4,343","8,784","49.44%","26.97%","19.25%",7.72,0.5835,0.6642,4014,-0.0807
"53","第12案","苗栗縣","頭屋鄉","3,572","2,202","5,774","346","6,120","9,390","65.18%","38.04%","23.45%",14.59,0.6186,0.6546,4863,-0.0359999999999999
"54","第12案","苗栗縣","三義鄉","4,765","2,951","7,716","437","8,153","13,889","58.7%","34.31%","21.25%",13.06,0.6175,0.5908,5845,0.0267000000000001
"55","第12案","苗栗縣","西湖鄉","1,975","1,337","3,312","223","3,535","6,382","55.39%","30.95%","20.95%",10,0.5963,0.601,2817,-0.00469999999999993
"56","第12案","苗栗縣","造橋鄉","3,616","2,359","5,975","448","6,423","11,027","58.25%","32.79%","21.39%",11.4,0.6052,0.6051,4444,9.9999999999989e-05
"57","第12案","苗栗縣","三灣鄉","1,914","1,269","3,183","227","3,410","5,852","58.27%","32.71%","21.68%",11.03,0.6013,0.6726,2767,-0.0713000000000001
"58","第12案","苗栗縣","獅潭鄉","1,166","700","1,866","177","2,043","3,968","51.49%","29.39%","17.64%",11.75,0.6249,0.6992,2050,-0.0743
"59","第12案","苗栗縣","泰安鄉","2,032","1,249","3,281","180","3,461","5,180","66.81%","39.23%","24.11%",15.12,0.6193,0.6521,2829,-0.0327999999999999
"60","第12案","彰化縣","","356,924","224,371","581,295","35,062","616,357","1,066,994","57.77%","33.45%","21.03%",12.42,0.614,NA,NA,NA
"61","第12案","彰化縣","彰化市","68,788","41,730","110,518","5,319","115,837","190,995","60.65%","36.02%","21.85%",14.17,0.6224,0.5312,65874,0.0911999999999999
"62","第12案","彰化縣","鹿港鎮","23,865","15,045","38,910","2,357","41,267","70,505","58.53%","33.85%","21.34%",12.51,0.6133,0.578,27397,0.0353
"63","第12案","彰化縣","和美鎮","24,610","16,291","40,901","2,138","43,039","75,286","57.17%","32.69%","21.64%",11.05,0.6017,0.5904,29004,0.0113
"64","第12案","彰化縣","線西鄉","4,751","3,117","7,868","566","8,434","14,065","59.96%","33.78%","22.16%",11.62,0.6038,0.6682,6615,-0.0643999999999999
"65","第12案","彰化縣","伸港鄉","9,720","6,433","16,153","1,105","17,258","30,407","56.76%","31.97%","21.16%",10.81,0.6017,0.623,12781,-0.0213
"66","第12案","彰化縣","福興鄉","12,923","7,536","20,459","1,253","21,712","39,745","54.63%","32.51%","18.96%",13.55,0.6317,0.5765,15125,0.0552
"67","第12案","彰化縣","秀水鄉","11,216","7,005","18,221","1,120","19,341","32,394","59.71%","34.62%","21.62%",13,0.6156,0.589,13132,0.0266000000000001
"68","第12案","彰化縣","花壇鄉","14,186","7,908","22,094","1,169","23,263","38,924","59.77%","36.45%","20.32%",16.13,0.6421,0.5534,14443,0.0887
"69","第12案","彰化縣","芬園鄉","6,526","4,148","10,674","743","11,417","20,408","55.94%","31.98%","20.33%",11.65,0.6114,0.4737,6594,0.1377
"70","第12案","彰化縣","員林市","33,660","21,760","55,420","2,842","58,262","102,028","57.1%","32.99%","21.33%",11.66,0.6074,0.4995,31949,0.1079
"71","第12案","彰化縣","溪湖鎮","15,354","9,656","25,010","1,558","26,568","45,147","58.85%","34.01%","21.39%",12.62,0.6139,0.5367,16431,0.0771999999999999
"72","第12案","彰化縣","田中鎮","12,217","7,289","19,506","1,162","20,668","35,391","58.4%","34.52%","20.60%",13.92,0.6263,0.4906,11340,0.1357
"73","第12案","彰化縣","大村鄉","10,702","6,852","17,554","1,069","18,623","31,492","59.14%","33.98%","21.76%",12.22,0.6097,0.5073,10826,0.1024
"74","第12案","彰化縣","埔鹽鄉","9,874","6,020","15,894","1,024","16,918","28,026","60.37%","35.23%","21.48%",13.75,0.6212,0.6082,12415,0.013
"75","第12案","彰化縣","埔心鄉","10,317","6,885","17,202","1,169","18,371","29,642","61.98%","34.81%","23.23%",11.58,0.5998,0.4738,9694,0.126
"76","第12案","彰化縣","永靖鄉","10,584","7,076","17,660","1,094","18,754","31,239","60.03%","33.88%","22.65%",11.23,0.5993,0.4677,10057,0.1316
"77","第12案","彰化縣","社頭鄉","11,701","8,292","19,993","1,153","21,146","36,306","58.24%","32.23%","22.84%",9.39,0.5853,0.4804,11703,0.1049
"78","第12案","彰化縣","二水鄉","4,983","2,611","7,594","547","8,141","13,339","61.03%","37.36%","19.57%",17.79,0.6562,0.4579,4452,0.1983
"79","第12案","彰化縣","北斗鎮","9,465","5,748","15,213","968","16,181","27,593","58.64%","34.3%","20.83%",13.47,0.6222,0.4947,9082,0.1275
"80","第12案","彰化縣","二林鎮","13,211","8,115","21,326","1,492","22,818","42,976","53.09%","30.74%","18.88%",11.86,0.6195,0.5442,15652,0.0753
"81","第12案","彰化縣","田尾鄉","7,969","4,930","12,899","879","13,778","23,179","59.44%","34.38%","21.27%",13.11,0.6178,0.4986,7946,0.1192
"82","第12案","彰化縣","埤頭鄉","7,832","5,029","12,861","1,146","14,007","25,677","54.55%","30.5%","19.59%",10.91,0.609,0.5067,8548,0.1023
"83","第12案","彰化縣","芳苑鄉","8,085","5,166","13,251","1,238","14,489","29,291","49.47%","27.6%","17.64%",9.96,0.6101,0.4778,9404,0.1323
"84","第12案","彰化縣","大城鄉","3,240","2,026","5,266","488","5,754","14,713","39.11%","22.02%","13.77%",8.25,0.6153,0.5078,4708,0.1075
"85","第12案","彰化縣","竹塘鄉","3,755","2,717","6,472","558","7,030","12,821","54.83%","29.29%","21.19%",8.1,0.5802,0.4623,4333,0.1179
"86","第12案","彰化縣","溪州鄉","7,390","4,986","12,376","905","13,281","25,405","52.28%","29.09%","19.63%",9.46,0.5971,0.4828,8290,0.1143
"87","第12案","南投縣","","143,356","91,565","234,921","14,026","248,947","427,089","58.29%","33.57%","21.44%",12.13,0.6102,NA,NA,NA
"88","第12案","南投縣","南投市","30,688","18,233","48,921","2,370","51,291","84,328","60.82%","36.39%","21.62%",14.77,0.6273,0.6802,39008,-0.0528999999999999
"89","第12案","南投縣","埔里鎮","22,909","14,653","37,562","2,218","39,780","68,763","57.85%","33.32%","21.31%",12.01,0.6099,0.7004,31617,-0.0905
"90","第12案","南投縣","草屯鎮","27,781","18,359","46,140","2,277","48,417","82,922","58.39%","33.5%","22.14%",11.36,0.6021,0.5379,29774,0.0641999999999999
"91","第12案","南投縣","竹山鎮","14,445","10,060","24,505","1,530","26,035","47,034","55.35%","30.71%","21.39%",9.32,0.5895,0.68,21162,-0.0905
"92","第12案","南投縣","集集鎮","2,990","2,213","5,203","387","5,590","9,611","58.16%","31.11%","23.03%",8.08,0.5747,0.6863,4774,-0.1116
"93","第12案","南投縣","名間鄉","11,518","7,257","18,775","1,354","20,129","33,408","60.25%","34.48%","21.72%",12.76,0.6135,0.6475,15432,-0.0339999999999999
"94","第12案","南投縣","鹿谷鄉","4,657","3,348","8,005","616","8,621","15,941","54.08%","29.21%","21.00%",8.21,0.5818,0.7248,8156,-0.143
"95","第12案","南投縣","中寮鄉","4,197","2,902","7,099","559","7,658","13,181","58.1%","31.84%","22.02%",9.82,0.5912,0.7031,6940,-0.1119
"96","第12案","南投縣","魚池鄉","4,019","3,031","7,050","600","7,650","13,958","54.81%","28.79%","21.72%",7.07,0.5701,0.6899,6810,-0.1198
"97","第12案","南投縣","國姓鄉","5,242","3,437","8,679","657","9,336","16,597","56.25%","31.58%","20.71%",10.87,0.604,0.6821,8152,-0.0780999999999999
"98","第12案","南投縣","水里鄉","4,880","3,232","8,112","557","8,669","15,458","56.08%","31.57%","20.91%",10.66,0.6016,0.6989,7621,-0.0972999999999999
"99","第12案","南投縣","信義鄉","5,655","2,337","7,992","504","8,496","13,299","63.88%","42.52%","17.57%",24.95,0.7076,0.8096,7902,-0.102
"100","第12案","南投縣","仁愛鄉","4,375","2,503","6,878","397","7,275","12,589","57.79%","34.75%","19.88%",14.87,0.6361,0.8482,8037,-0.2121
"101","第12案","雲林縣","","170,393","114,101","284,494","20,533","305,027","584,480","52.19%","29.15%","19.52%",9.63,0.5989,NA,NA,NA
"102","第12案","雲林縣","斗六市","29,976","19,543","49,519","2,309","51,828","89,761","57.74%","33.4%","21.77%",11.63,0.6053,0.5508,32050,0.0545
"103","第12案","雲林縣","斗南鎮","12,689","8,180","20,869","1,151","22,020","38,138","57.74%","33.27%","21.45%",11.82,0.608,0.5206,13445,0.0873999999999999
"104","第12案","雲林縣","虎尾鎮","17,512","12,095","29,607","1,658","31,265","58,167","53.75%","30.11%","20.79%",9.32,0.5915,0.5593,21349,0.0322
"105","第12案","雲林縣","西螺鎮","11,288","7,807","19,095","1,400","20,495","38,142","53.73%","29.59%","20.47%",9.12,0.5911,0.4689,12109,0.1222
"106","第12案","雲林縣","土庫鎮","7,060","4,803","11,863","1,003","12,866","24,412","52.7%","28.92%","19.67%",9.25,0.5951,0.584,10136,0.0111
"107","第12案","雲林縣","北港鎮","10,470","6,854","17,324","1,331","18,655","33,958","54.94%","30.83%","20.18%",10.65,0.6044,0.4922,11426,0.1122
"108","第12案","雲林縣","古坑鄉","8,316","5,364","13,680","1,001","14,681","27,477","53.43%","30.27%","19.52%",10.75,0.6079,0.5435,10087,0.0644
"109","第12案","雲林縣","大埤鄉","4,704","3,339","8,043","570","8,613","16,509","52.17%","28.49%","20.23%",8.26,0.5849,0.5396,6339,0.0453
"110","第12案","雲林縣","莿桐鄉","7,420","5,098","12,518","1,094","13,612","24,570","55.4%","30.2%","20.75%",9.45,0.5927,0.4694,8218,0.1233
"111","第12案","雲林縣","林內鄉","4,885","3,241","8,126","715","8,841","15,551","56.85%","31.41%","20.84%",10.57,0.6012,0.4963,5234,0.1049
"112","第12案","雲林縣","二崙鄉","6,035","4,230","10,265","995","11,260","23,367","48.19%","25.83%","18.10%",7.73,0.5879,0.4722,7461,0.1157
"113","第12案","雲林縣","崙背鄉","5,759","3,820","9,579","797","10,376","21,050","49.29%","27.36%","18.15%",9.21,0.6012,0.5485,7961,0.0527
"114","第12案","雲林縣","麥寮鄉","10,179","6,888","17,067","1,232","18,299","37,119","49.3%","27.42%","18.56%",8.86,0.5964,0.6802,15550,-0.0837999999999999
"115","第12案","雲林縣","東勢鄉","3,613","2,464","6,077","553","6,630","13,239","50.08%","27.29%","18.61%",8.68,0.5945,0.5756,5687,0.0189
"116","第12案","雲林縣","褒忠鄉","3,162","2,292","5,454","428","5,882","11,381","51.68%","27.78%","20.14%",7.64,0.5798,0.5455,4746,0.0343
"117","第12案","雲林縣","臺西鄉","5,471","3,451","8,922","809","9,731","21,125","46.06%","25.9%","16.34%",9.56,0.6132,0.6359,8833,-0.0227000000000001
"118","第12案","雲林縣","元長鄉","5,559","3,683","9,242","736","9,978","22,830","43.71%","24.35%","16.13%",8.22,0.6015,0.5311,8118,0.0704
"119","第12案","雲林縣","四湖鄉","4,509","3,123","7,632","766","8,398","20,983","40.02%","21.49%","14.88%",6.61,0.5908,0.5131,6384,0.0777
"120","第12案","雲林縣","口湖鄉","6,409","4,123","10,532","1,122","11,654","24,193","48.17%","26.49%","17.04%",9.45,0.6085,0.5385,8739,0.0700000000000001
"121","第12案","雲林縣","水林鄉","5,377","3,703","9,080","863","9,943","22,508","44.18%","23.89%","16.45%",7.44,0.5922,0.4607,6898,0.1315
"122","第12案","嘉義縣","","132,636","81,825","214,461","13,955","228,416","442,775","51.59%","29.96%","18.48%",11.48,0.6185,NA,NA,NA
"123","第12案","嘉義縣","太保市","9,940","6,382","16,322","830","17,152","31,568","54.33%","31.49%","20.22%",11.27,0.609,0.3004,6092,0.3086
"124","第12案","嘉義縣","朴子市","10,800","6,642","17,442","1,017","18,459","35,191","52.45%","30.69%","18.87%",11.82,0.6192,0.279,6178,0.3402
"125","第12案","嘉義縣","布袋鎮","6,938","4,035","10,973","850","11,823","23,965","49.33%","28.95%","16.84%",12.11,0.6323,0.3339,5053,0.2984
"126","第12案","嘉義縣","大林鎮","8,075","5,293","13,368","815","14,183","26,922","52.68%","29.99%","19.66%",10.33,0.6041,0.3085,5426,0.2956
"127","第12案","嘉義縣","民雄鄉","19,293","11,995","31,288","1,794","33,082","61,209","54.05%","31.52%","19.60%",11.92,0.6166,0.3191,12139,0.2975
"128","第12案","嘉義縣","溪口鄉","4,086","2,363","6,449","445","6,894","13,105","52.61%","31.18%","18.03%",13.15,0.6336,0.2316,2099,0.402
"129","第12案","嘉義縣","新港鄉","8,563","5,310","13,873","1,096","14,969","27,342","54.75%","31.32%","19.42%",11.9,0.6172,0.2297,4298,0.3875
"130","第12案","嘉義縣","六腳鄉","5,217","3,177","8,394","643","9,037","20,821","43.4%","25.06%","15.26%",9.8,0.6215,0.2362,2989,0.3853
"131","第12案","嘉義縣","東石鄉","5,453","2,984","8,437","768","9,205","21,915","42%","24.88%","13.62%",11.26,0.6463,0.2413,3193,0.405
"132","第12案","嘉義縣","義竹鄉","4,946","2,911","7,857","681","8,538","16,647","51.29%","29.71%","17.49%",12.22,0.6295,0.2014,2414,0.4281
"133","第12案","嘉義縣","鹿草鄉","3,713","2,360","6,073","556","6,629","13,937","47.56%","26.64%","16.93%",9.71,0.6114,0.2843,2545,0.3271
"134","第12案","嘉義縣","水上鄉","13,744","8,519","22,263","1,312","23,575","43,857","53.75%","31.34%","19.42%",11.92,0.6173,0.3515,9734,0.2658
"135","第12案","嘉義縣","中埔鄉","10,814","6,970","17,784","991","18,775","39,139","47.97%","27.63%","17.81%",9.82,0.6081,0.3285,7751,0.2796
"136","第12案","嘉義縣","竹崎鄉","9,650","5,888","15,538","926","16,464","31,228","52.72%","30.9%","18.85%",12.05,0.6211,0.3016,6300,0.3195
"137","第12案","嘉義縣","梅山鄉","5,569","3,298","8,867","660","9,527","17,083","55.77%","32.6%","19.31%",13.29,0.6281,0.2871,3437,0.341
"138","第12案","嘉義縣","番路鄉","3,278","2,041","5,319","383","5,702","10,156","56.14%","32.28%","20.10%",12.18,0.6163,0.3638,2510,0.2525
"139","第12案","嘉義縣","大埔鄉","1,280","822","2,102","98","2,200","3,999","55.01%","32.01%","20.56%",11.45,0.6089,0.2989,919,0.31
"140","第12案","嘉義縣","阿里山鄉","1,277","835","2,112","90","2,202","4,691","46.94%","27.22%","17.80%",9.42,0.6046,0.3608,1166,0.2438
"141","第12案","屏東縣","","216,753","136,224","352,977","23,852","376,829","711,720","52.95%","30.45%","19.14%",11.31,0.6141,NA,NA,NA
"142","第12案","屏東縣","屏東市","53,638","33,114","86,752","4,173","90,925","170,148","53.44%","31.52%","19.46%",12.06,0.6183,0.4547,46320,0.1636
"143","第12案","屏東縣","潮州鎮","14,538","8,696","23,234","1,257","24,491","46,444","52.73%","31.3%","18.72%",12.58,0.6257,0.4362,12571,0.1895
"144","第12案","屏東縣","東港鎮","11,765","7,877","19,642","1,502","21,144","39,495","53.54%","29.79%","19.94%",9.85,0.599,0.4704,11387,0.1286
"145","第12案","屏東縣","恆春鎮","6,419","4,918","11,337","776","12,113","25,661","47.2%","25.01%","19.17%",5.84,0.5662,0.4055,6729,0.1607
"146","第12案","屏東縣","萬丹鄉","13,536","8,355","21,891","1,574","23,465","43,478","53.97%","31.13%","19.22%",11.91,0.6183,0.3887,11272,0.2296
"147","第12案","屏東縣","長治鄉","8,236","5,259","13,495","958","14,453","26,256","55.05%","31.37%","20.03%",11.34,0.6103,0.4005,6939,0.2098
"148","第12案","屏東縣","麟洛鄉","3,544","2,001","5,545","321","5,866","9,970","58.84%","35.55%","20.07%",15.48,0.6391,0.3545,2526,0.2846
"149","第12案","屏東縣","九如鄉","5,776","3,695","9,471","895","10,366","19,132","54.18%","30.19%","19.31%",10.88,0.6099,0.3003,3977,0.3096
"150","第12案","屏東縣","里港鄉","6,740","4,569","11,309","985","12,294","22,128","55.56%","30.46%","20.65%",9.81,0.596,0.3475,5371,0.2485
"151","第12案","屏東縣","鹽埔鄉","6,444","4,323","10,767","873","11,640","22,402","51.96%","28.77%","19.30%",9.47,0.5985,0.412,6561,0.1865
"152","第12案","屏東縣","高樹鄉","5,804","3,989","9,793","1,003","10,796","21,697","49.76%","26.75%","18.39%",8.36,0.5927,0.3453,5402,0.2474
"153","第12案","屏東縣","萬巒鄉","5,074","3,640","8,714","665","9,379","17,945","52.27%","28.28%","20.28%",8,0.5823,0.3141,3866,0.2682
"154","第12案","屏東縣","內埔鄉","13,292","8,506","21,798","1,402","23,200","47,558","48.78%","27.95%","17.89%",10.06,0.6098,0.3684,10697,0.2414
"155","第12案","屏東縣","竹田鄉","5,021","3,157","8,178","678","8,856","15,353","57.68%","32.7%","20.56%",12.14,0.614,0.3623,4040,0.2517
"156","第12案","屏東縣","新埤鄉","2,559","1,660","4,219","377","4,596","9,033","50.88%","28.33%","18.38%",9.95,0.6065,0.4134,2663,0.1931
"157","第12案","屏東縣","枋寮鄉","6,469","4,070","10,539","982","11,521","21,394","53.85%","30.24%","19.02%",11.22,0.6138,0.5044,7635,0.1094
"158","第12案","屏東縣","新園鄉","9,147","5,827","14,974","1,277","16,251","30,706","52.92%","29.79%","18.98%",10.81,0.6109,0.3928,8167,0.2181
"159","第12案","屏東縣","崁頂鄉","3,662","2,334","5,996","489","6,485","12,270","52.85%","29.85%","19.02%",10.83,0.6107,0.388,3219,0.2227
"160","第12案","屏東縣","林邊鄉","5,149","3,009","8,158","667","8,825","15,691","56.24%","32.81%","19.18%",13.63,0.6312,0.3884,4376,0.2428
"161","第12案","屏東縣","南州鄉","2,779","1,937","4,716","408","5,124","9,479","54.06%","29.32%","20.43%",8.89,0.5893,0.4284,3024,0.1609
"162","第12案","屏東縣","佳冬鄉","4,877","2,953","7,830","739","8,569","17,063","50.22%","28.58%","17.31%",11.27,0.6229,0.3729,4432,0.25
"163","第12案","屏東縣","琉球鄉","2,812","1,611","4,423","331","4,754","10,706","44.41%","26.27%","15.05%",11.22,0.6358,0.6926,4763,-0.0568000000000001
"164","第12案","屏東縣","車城鄉","1,698","1,269","2,967","242","3,209","7,595","42.25%","22.36%","16.71%",5.65,0.5723,0.3367,1786,0.2356
"165","第12案","屏東縣","滿州鄉","1,674","1,268","2,942","114","3,056","7,206","42.41%","23.23%","17.60%",5.63,0.569,0.3768,1994,0.1922
"166","第12案","屏東縣","枋山鄉","1,441","899","2,340","185","2,525","4,856","52%","29.67%","18.51%",11.16,0.6158,0.3563,1385,0.2595
"167","第12案","屏東縣","三地門鄉","2,519","1,274","3,793","197","3,990","6,373","62.61%","39.53%","19.99%",19.54,0.6641,0.5614,2895,0.1027
"168","第12案","屏東縣","霧臺鄉","1,573","609","2,182","80","2,262","2,950","76.68%","53.32%","20.64%",32.68,0.7209,0.4534,1129,0.2675
"169","第12案","屏東縣","瑪家鄉","2,430","1,185","3,615","159","3,774","5,663","66.64%","42.91%","20.93%",21.98,0.6722,0.514,2350,0.1582
"170","第12案","屏東縣","泰武鄉","1,763","992","2,755","140","2,895","4,344","66.64%","40.58%","22.84%",17.74,0.6399,0.4662,1668,0.1737
"171","第12案","屏東縣","來義鄉","2,423","1,131","3,554","192","3,746","6,257","59.87%","38.72%","18.08%",20.64,0.6818,0.5624,2673,0.1194
"172","第12案","屏東縣","春日鄉","1,095","605","1,700","48","1,748","3,923","44.56%","27.91%","15.42%",12.49,0.6441,0.5738,1737,0.0703
