"","案件","縣市","地區","同意票數","不同意票數","有效票數","無效票數","投票數","投票權人數","投票率...","有效同意票數對投票權人數百分比...","有效不同意票數對投票權人數百分比...","有效同意與不同意票數對投票權人數百分比...差值","不同意票數對票數比率","縣市首長得票率","縣市首長得票數","公投不同意率對縣市首長得票率差距"
"272","第13案","高雄市","美濃區","7,983","10,596","18,579","1,171","19,750","35,311","55.93%","22.61%","30.01%",-7.4,0.5703,0.6109,15478,-0.0406
"273","第13案","高雄市","六龜區","2,314","2,752","5,066","465","5,531","11,501","48.09%","20.12%","23.93%",-3.81,0.5432,0.5429,4084,0.000300000000000078
"274","第13案","高雄市","甲仙區","1,133","1,390","2,523","202","2,725","5,417","50.3%","20.92%","25.66%",-4.74,0.5509,0.6017,2339,-0.0508000000000001
"275","第13案","高雄市","杉林區","2,294","2,488","4,782","296","5,078","10,607","47.87%","21.63%","23.46%",-1.83,0.5203,0.5645,4129,-0.0442
"276","第13案","高雄市","內門區","3,104","2,956","6,060","457","6,517","13,002","50.12%","23.87%","22.73%",1.14,0.4878,0.5381,5446,-0.0503
"277","第13案","高雄市","茂林區","337","738","1,075","47","1,122","1,615","69.47%","20.87%","45.70%",-24.83,0.6865,0.9183,1281,-0.2318
"278","第13案","高雄市","桃源區","548","1,289","1,837","89","1,926","3,498","55.06%","15.67%","36.85%",-21.18,0.7017,0.8851,2519,-0.1834
"279","第13案","高雄市","那瑪夏區","495","932","1,427","108","1,535","2,424","63.33%","20.42%","38.45%",-18.03,0.6531,0.8508,1751,-0.1977
"280","第13案","新北市","","807,514","985,763","1,793,277","87,193","1,880,470","3,375,513","55.71%","23.92%","29.20%",-5.28,0.5497,NA,NA,NA
"281","第13案","新北市","板橋區","119,330","132,183","251,513","12,943","264,456","463,411","57.07%","25.75%","28.52%",-2.77,0.5256,0.5397,154687,-0.0141
"282","第13案","新北市","三重區","89,027","87,000","176,027","9,721","185,748","329,846","56.31%","26.99%","26.38%",0.61,0.4942,0.4978,99925,-0.00360000000000005
"283","第13案","新北市","中和區","78,167","112,782","190,949","8,680","199,629","355,978","56.08%","21.96%","31.68%",-9.72,0.5906,0.6331,139022,-0.0425
"284","第13案","新北市","永和區","40,769","66,263","107,032","4,634","111,666","187,798","59.46%","21.71%","35.28%",-13.57,0.6191,0.6746,79362,-0.0555
"285","第13案","新北市","新莊區","90,070","98,684","188,754","9,447","198,201","344,981","57.45%","26.11%","28.61%",-2.5,0.5228,0.5172,108240,0.00560000000000005
