"","countryname","townname","ref","vot","rate","party"
"1","臺南市","七股區",0.3166742909459,43.39,0.270167570993547,"民主進步黨"
"2","澎湖縣","七美鄉",0.351331199362623,51.36,0.315943926474644,"中國國民黨"
"3","基隆市","七堵區",0.344956537291598,57.5,0.400075587318961,"民主進步黨"
"4","屏東縣","九如鄉",0.318547865366067,67.75,0.529818648906174,"民主進步黨"
"5","彰化縣","二水鄉",0.290376643457403,49.11,0.408721964045198,"民主進步黨"
"6","彰化縣","二林鎮",0.303824201658572,54.42,0.441704884861132,"中國國民黨"
"7","雲林縣","二崙鄉",0.325220827119911,48.78,0.333290637310555,"民主進步黨"
"8","新北市","八里區",0.347052822892908,54,0.357309587235355,"中國國民黨"
"9","桃園市","八德區",0.331285739431867,54.93,0.396894703382728,"民主進步黨"
"10","高雄市","三民區",0.348381128364289,52.79,0.340062268679127,"中國國民黨"
"11","屏東縣","三地門鄉",0.280898964992941,56.14,0.499645591391269,"中國國民黨"
"12","新北市","三芝區",0.350454786887002,59.4,0.410008776284508,"中國國民黨"
"13","宜蘭縣","三星鄉",0.336855599748013,47.48,0.29053159278009,"中國國民黨"
"14","新北市","三重區",0.375050102052398,50.22,0.253185778469937,"民主進步黨"
"15","新北市","三峽區",0.344924255427469,57.36,0.398667616060898,"中國國民黨"
"16","苗栗縣","三義鄉",0.280814061123883,59.08,0.524688454428093,"中國國民黨"
"17","苗栗縣","三灣鄉",0.269975187011452,67.26,0.598609594095373,"中國國民黨"
"18","臺南市","下營區",0.348459015169327,42.59,0.181829032239196,"民主進步黨"
"19","雲林縣","口湖鄉",0.295563178877316,53.85,0.451136158073693,"中國國民黨"
"20","新北市","土城區",0.362891327718934,56.15,0.353710903439121,"中國國民黨"
"21","雲林縣","土庫鎮",0.327910482586451,58.4,0.438509447625941,"中國國民黨"
"22","臺北市","士林區",0.395623654871272,41.21,0.0399814247239209,"無"
"23","臺南市","大內區",0.307611617500333,39.13,0.213872687195672,"民主進步黨"
"24","臺中市","大甲區",0.311103960518101,54.71,0.431358141988483,"中國國民黨"
"25","臺北市","大同區",0.408480344241391,45.29,0.0980782860644929,"無"
"26","宜蘭縣","大同鄉",0.196169134676508,86.02,0.771949390052886,"中國國民黨"
"27","臺中市","大安區",0.29739411102258,56.62,0.474754307625256,"中國國民黨"
"28","臺北市","大安區",0.3882084535539,45.73,0.151085822099497,"中國國民黨"
"29","彰化縣","大村鄉",0.315665441785241,50.73,0.377753909352964,"中國國民黨"
"30","臺中市","大肚區",0.302506466484788,56.1,0.460772787014639,"中國國民黨"
"31","臺中市","大里區",0.321665515625233,54.63,0.411192539584051,"中國國民黨"
"32","嘉義縣","大林鎮",0.322045677117883,45.35,0.289866202606653,"民主進步黨"
"33","臺東縣","大武鄉",0.258805754317125,62.83,0.588085700593466,"中國國民黨"
"34","高雄市","大社區",0.358269283732402,49.52,0.276515986000805,"民主進步黨"
"35","彰化縣","大城鄉",0.260629921138839,50.78,0.486746905988894,"中國國民黨"
"36","嘉義縣","大埔鄉",0.306785365564328,56.07,0.452852923908813,"民主進步黨"
"37","雲林縣","大埤鄉",0.322941323992635,53.96,0.401517190525138,"中國國民黨"
"38","苗栗縣","大湖鄉",0.308899032738774,61.84,0.500486687033031,"中國國民黨"
"39","臺中市","大雅區",0.317919334389586,57.04,0.442637913061736,"中國國民黨"
"40","桃園市","大園區",0.326835869628617,61.42,0.467867356514789,"民主進步黨"
"41","桃園市","大溪區",0.321442386708634,60.25,0.466485665213885,"民主進步黨"
"42","高雄市","大寮區",0.317978625344136,52.17,0.390495255234548,"中國國民黨"
"43","高雄市","大樹區",0.323638854656981,50.38,0.357604496512543,"民主進步黨"
"44","高雄市","小港區",0.340098366740547,51.7,0.342169503403198,"中國國民黨"
"45","臺南市","山上區",0.347474421563346,37.37,0.0701781601194915,"民主進步黨"
"46","基隆市","中山區",0.341829539574781,54.49,0.372674730088491,"民主進步黨"
"47","臺北市","中山區",0.399014303289745,41.55,0.039676767052358,"無"
"48","基隆市","中正區",0.344342420437861,52.79,0.347712785683158,"民主進步黨"
"49","臺北市","中正區",0.383715649072955,41.83,0.0826783431198788,"中國國民黨"
"50","臺南市","中西區",0.361589628058142,37.54,0.0367884175329192,"民主進步黨"
"51","新北市","中和區",0.347662936089849,63.31,0.450856205828702,"中國國民黨"
"52","嘉義縣","中埔鄉",0.319954946301408,48.74,0.343547504510858,"民主進步黨"
"53","臺中市","中區",0.319460170922919,53.29,0.400525106168289,"中國國民黨"
"54","南投縣","中寮鄉",0.273663304197963,70.31,0.610776128291903,"中國國民黨"
"55","桃園市","中壢區",0.329945744758316,48.8,0.323881670577222,"民主進步黨"
"56","新北市","五股區",0.354110542620213,52.23,0.322016958414297,"中國國民黨"
"57","新竹縣","五峰鄉",0.206028888700999,45.33,0.545491090445623,"中國國民黨"
"58","宜蘭縣","五結鄉",0.352929115570842,47.07,0.250203706031779,"中國國民黨"
"59","高雄市","仁武區",0.318857864869908,51.4,0.379653959397066,"中國國民黨"
"60","基隆市","仁愛區",0.35751834573725,55.87,0.360088874642473,"民主進步黨"
"61","南投縣","仁愛鄉",0.226883625750019,84.82,0.732511641417096,"中國國民黨"
"62","臺南市","仁德區",0.335229009024187,36.41,0.079294125173889,"民主進步黨"
"63","雲林縣","元長鄉",0.306018870366683,53.11,0.423801788049928,"中國國民黨"
"64","高雄市","內門區",0.293088557908812,53.81,0.455326969134339,"中國國民黨"
"65","屏東縣","內埔鄉",0.323239400333854,61.3,0.472692658509211,"民主進步黨"
"66","臺北市","內湖區",0.396428150436792,43.7,0.0928417610142048,"無"
"67","苗栗縣","公館鄉",0.294898526506893,61.4,0.519709240216787,"中國國民黨"
"68","臺南市","六甲區",0.376230315441384,43.24,0.129902138202165,"民主進步黨"
"69","嘉義縣","六腳鄉",0.328694638768052,60.65,0.45804676213017,"民主進步黨"
"70","高雄市","六龜區",0.300063225982409,54.29,0.447295586696612,"中國國民黨"
"71","臺中市","太平區",0.316131970526077,56.62,0.441660242800995,"中國國民黨"
"72","嘉義縣","太保市",0.344657962227639,51.8,0.334637138556681,"民主進步黨"
"73","臺東縣","太麻里鄉",0.268280454078791,63.74,0.579101891937887,"中國國民黨"
"74","臺北市","文山區",0.377639612624562,47.15,0.199067629640377,"中國國民黨"
"75","雲林縣","斗六市",0.316573766187555,55.08,0.425247338076334,"中國國民黨"
"76","雲林縣","斗南鎮",0.320809024515262,52.06,0.383770602160465,"中國國民黨"
"77","嘉義縣","水上鄉",0.315696602321138,50.45,0.374238647529953,"民主進步黨"
"78","南投縣","水里鄉",0.292121867213721,69.89,0.582026230914694,"中國國民黨"
"79","雲林縣","水林鄉",0.307884549099364,50.78,0.393689347972895,"民主進步黨"
"80","宜蘭縣","冬山鄉",0.349780589443579,45.83,0.236786843893565,"中國國民黨"
"81","臺中市","北屯區",0.333497012541498,60.67,0.450309852412234,"中國國民黨"
"82","彰化縣","北斗鎮",0.32367553528365,49.47,0.345713492452699,"中國國民黨"
"83","臺北市","北投區",0.388350569336734,41.8,0.0709316523044653,"無"
"84","臺南市","北門區",0.304710540843902,42.63,0.285220406183669,"民主進步黨"
"85","連江縣","北竿鄉",0.253141850947605,77.38,0.672858812422325,"中國國民黨"
"86","新竹縣","北埔鄉",0.345905439344694,46.27,0.252419625362668,"中國國民黨"
"87","新竹市","北區",0.347673014180579,48.23,0.27913536350699,"民主進步黨"
"88","臺中市","北區",0.346137336341895,59.67,0.41991396624452,"中國國民黨"
"89","臺南市","北區",0.358666627989019,37.52,0.0440654904343839,"中國國民黨"
"90","雲林縣","北港鎮",0.321991840075861,49.22,0.345810970995813,"中國國民黨"
"91","雲林縣","古坑鄉",0.302266772547255,54.35,0.443851384457673,"中國國民黨"
"92","雲林縣","四湖鄉",0.298210167173737,51.31,0.418806924237503,"中國國民黨"
"93","臺中市","外埔區",0.277851273024373,60.07,0.537454181747339,"中國國民黨"
"94","高雄市","左營區",0.322047771530758,61.99,0.480484317582259,"中國國民黨"
"95","臺南市","左鎮區",0.288202383399893,41.8,0.310520613875853,"民主進步黨"
"96","嘉義縣","布袋鎮",0.287436901362642,54.47,0.472302365774478,"民主進步黨"
"97","新北市","平溪區",0.281454613277109,53.28,0.47174434444987,"中國國民黨"
"98","桃園市","平鎮區",0.318822046945342,51.77,0.38415675691454,"民主進步黨"
"99","嘉義縣","民雄鄉",0.333683296847621,44.72,0.253838781646644,"民主進步黨"
"100","高雄市","永安區",0.333466475235184,49.62,0.327959542049207,"中國國民黨"
"101","新北市","永和區",0.35338750747179,67.46,0.476152523759576,"中國國民黨"
"102","臺南市","永康區",0.351141454800421,34.81,0.00873730192594224,"中國國民黨"
"103","彰化縣","永靖鄉",0.326411474275337,46.77,0.302092208092074,"中國國民黨"
"104","臺南市","玉井區",0.301283851774404,42.17,0.285549319956358,"中國國民黨"
"105","花蓮縣","玉里鎮",0.278951526777595,76.13,0.633585279419945,"中國國民黨"
"106","彰化縣","田中鎮",0.30360471845238,49.06,0.381156301564656,"中國國民黨"
"107","彰化縣","田尾鄉",0.299214741370118,49.86,0.399890209847336,"中國國民黨"
"108","高雄市","田寮區",0.312106039665778,53.56,0.417277745209526,"民主進步黨"
"109","高雄市","甲仙區",0.288699104340135,60.17,0.520194275652094,"中國國民黨"
"110","澎湖縣","白沙鄉",0.298624543257755,38.13,0.216825220934291,"中國國民黨"
"111","臺南市","白河區",0.349993835992463,46.44,0.246352635675145,"民主進步黨"
"112","臺中市","石岡區",0.294566477248817,59.43,0.5043471693609,"中國國民黨"
"113","新北市","石門區",0.316459237233028,58.7,0.460887159739305,"中國國民黨"
"114","新北市","石碇區",0.341087081869377,52.27,0.347451536503967,"民主進步黨"
"115","花蓮縣","光復鄉",0.252737594928113,77.36,0.673296800765107,"中國國民黨"
"116","花蓮縣","吉安鄉",0.281917151296004,68.51,0.588502187569692,"中國國民黨"
"117","南投縣","名間鄉",0.290215221178019,64.75,0.551791164203831,"中國國民黨"
"118","臺中市","后里區",0.311774975844413,57.18,0.454748205938418,"中國國民黨"
"119","臺南市","安平區",0.358386949936663,36.84,0.027179831876594,"中國國民黨"
"120","臺南市","安定區",0.349991807101847,40.09,0.12698476652071,"民主進步黨"
"121","臺南市","安南區",0.347199071815158,38.42,0.0963064242187458,"民主進步黨"
"122","基隆市","安樂區",0.3494608797976,54.96,0.364154148839883,"民主進步黨"
"123","新竹縣","尖石鄉",0.202466315506632,51.39,0.606020012635469,"中國國民黨"
"124","臺東縣","成功鎮",0.223383473745795,60.8,0.632592970812837,"中國國民黨"
"125","嘉義縣","朴子市",0.322260292353844,53.77,0.400668974606947,"民主進步黨"
"126","新北市","汐止區",0.370549782588603,61.28,0.395316934418076,"中國國民黨"
"127","臺東縣","池上鄉",0.298307071055039,58.33,0.488587226032849,"中國國民黨"
"128","南投縣","竹山鎮",0.305328628904796,68,0.550987310434124,"中國國民黨"
"129","新竹縣","竹北市",0.361906586324588,37.89,0.0448493366994236,"民國黨"
"130","屏東縣","竹田鄉",0.382886166884085,61.83,0.380743705508515,"民主進步黨"
"131","新竹縣","竹東鎮",0.30570233553461,42.05,0.273002769239928,"中國國民黨"
"132","苗栗縣","竹南鎮",0.319187875810338,54.16,0.410657540970573,"中國國民黨"
"133","嘉義縣","竹崎鄉",0.297457281278486,42.08,0.293114825859111,"民主進步黨"
"134","彰化縣","竹塘鄉",0.291288369362354,47.2,0.3828636242323,"民主進步黨"
"135","臺中市","西屯區",0.346859534614472,60.3,0.424776891186613,"中國國民黨"
"136","嘉義市","西區",0.333918126521509,40.7,0.179562342698994,"民主進步黨"
"137","臺中市","西區",0.358572351139602,56.11,0.360947511781141,"中國國民黨"
"138","臺南市","西港區",0.341123756980222,43.79,0.22100078332902,"民主進步黨"
"139","苗栗縣","西湖鄉",0.305474902182269,60.1,0.491722292541981,"中國國民黨"
"140","澎湖縣","西嶼鄉",0.299841290421747,38.54,0.221999765382078,"中國國民黨"
"141","雲林縣","西螺鎮",0.332111269655553,48.96,0.321668158383265,"民主進步黨"
"142","彰化縣","伸港鄉",0.30778904816232,62.3,0.505956584009117,"中國國民黨"
"143","宜蘭縣","壯圍鄉",0.351282189696097,45.66,0.230656614769827,"中國國民黨"
"144","高雄市","杉林區",0.322960048923894,56.45,0.427882995706122,"中國國民黨"
"145","臺中市","沙鹿區",0.316270255552777,55.63,0.431475363018557,"中國國民黨"
"146","屏東縣","牡丹鄉",0.322905685218162,55.41,0.417242943118277,"中國國民黨"
"147","彰化縣","秀水鄉",0.31250788280439,58.9,0.469426344984057,"中國國民黨"
"148","花蓮縣","秀林鄉",0.281198786744768,80.55,0.650901568287067,"中國國民黨"
"149","新竹縣","芎林鄉",0.291888844928252,40.07,0.271552670505985,"中國國民黨"
"150","屏東縣","車城鄉",0.355255789427289,64.93,0.45286340762777,"民主進步黨"
"151","高雄市","那瑪夏區",0.190883610326589,85.08,0.775642206950413,"中國國民黨"
"152","屏東縣","里港鄉",0.331917736729953,62.71,0.470710035512753,"民主進步黨"
"153","屏東縣","佳冬鄉",0.340447062995274,61.32,0.444802571762436,"民主進步黨"
"154","臺南市","佳里區",0.346900047207108,40.53,0.144090680466055,"民主進步黨"
"155","屏東縣","來義鄉",0.232657683805739,56.24,0.586312795508999,"中國國民黨"
"156","臺東縣","卑南鄉",0.305317350303266,59.3,0.485130943839348,"中國國民黨"
"157","花蓮縣","卓溪鄉",0.231642149229556,88.1,0.737069070114012,"中國國民黨"
"158","苗栗縣","卓蘭鎮",0.279346460906908,61.94,0.549004745064727,"中國國民黨"
"159","臺中市","和平區",0.224314535695576,70.15,0.680235872137455,"中國國民黨"
"160","彰化縣","和美鎮",0.317724112345686,59.04,0.461849403208526,"中國國民黨"
"161","新北市","坪林區",0.331675039319149,55.46,0.4019562940513,"民主進步黨"
"162","臺南市","官田區",0.366010927130365,45.37,0.193275452655136,"民主進步黨"
"163","宜蘭縣","宜蘭市",0.353018375696188,48.45,0.271375901555856,"中國國民黨"
"164","高雄市","岡山區",0.312504188634096,54.93,0.431086494385406,"中國國民黨"
"165","臺東縣","延平鄉",0.223614547429747,73.81,0.697040309673829,"中國國民黨"
