"","countryname","townname","ref","vot","rate","party"
"1","臺南市","七股區",0.593441355544854,43.39,0.367691531562236,"民主進步黨"
"2","澎湖縣","七美鄉",0.623670549997128,51.36,0.214311818530234,"中國國民黨"
"3","基隆市","七堵區",0.587808602540116,57.5,0.0222758305045494,"民主進步黨"
"4","屏東縣","九如鄉",0.567559276916592,67.75,0.16227413001241,"民主進步黨"
"5","彰化縣","二水鄉",0.580484450275497,49.11,0.182008654602926,"民主進步黨"
"6","彰化縣","二林鎮",0.590622889556052,54.42,0.085304831966285,"中國國民黨"
"7","雲林縣","二崙鄉",0.589441439583071,48.78,0.208367034815645,"民主進步黨"
"8","新北市","八里區",0.586159220217639,54,0.0854800374400724,"中國國民黨"
"9","桃園市","八德區",0.600399835451383,54.93,0.09302718997157,"民主進步黨"
"10","高雄市","三民區",0.58745894843158,52.79,0.112822406576207,"中國國民黨"
"11","屏東縣","三地門鄉",0.589157206076234,56.14,0.0494428323409948,"中國國民黨"
"12","新北市","三芝區",0.577849162106376,59.4,0.0271899627838791,"中國國民黨"
"13","宜蘭縣","三星鄉",0.575456899253817,47.48,0.211998524123456,"中國國民黨"
"14","新北市","三重區",0.569282546137679,50.22,0.133577351926879,"民主進步黨"
"15","新北市","三峽區",0.583375260652479,57.36,0.0170419467442109,"中國國民黨"
"16","苗栗縣","三義鄉",0.582141103365189,59.08,0.0146562231462612,"中國國民黨"
"17","苗栗縣","三灣鄉",0.578692646943311,67.26,0.139618425597219,"中國國民黨"
"18","臺南市","下營區",0.588163586619032,42.59,0.380989872315173,"民主進步黨"
"19","雲林縣","口湖鄉",0.605464689599122,53.85,0.124354112533189,"中國國民黨"
"20","新北市","土城區",0.592065013127255,56.15,0.0544345736905705,"中國國民黨"
"21","雲林縣","土庫鎮",0.591043199853183,58.4,0.0120602737212034,"中國國民黨"
"22","臺北市","士林區",0.568016082062751,41.21,0.378345261011287,"無"
"23","臺南市","大內區",0.585708772834898,39.13,0.496827939777402,"民主進步黨"
"24","臺中市","大甲區",0.594379076994563,54.71,0.0864176146857298,"中國國民黨"
"25","臺北市","大同區",0.552005648763783,45.29,0.218824572231801,"無"
"26","宜蘭縣","大同鄉",0.590254875044894,86.02,0.313816699552553,"中國國民黨"
"27","臺中市","大安區",0.590824224510227,56.62,0.0434903294069715,"中國國民黨"
"28","臺北市","大安區",0.592376432941715,45.73,0.295378160817221,"中國國民黨"
"29","彰化縣","大村鄉",0.599367646330012,50.73,0.181485602858294,"中國國民黨"
"30","臺中市","大肚區",0.605712862083878,56.1,0.079702071450763,"中國國民黨"
"31","臺中市","大里區",0.60365123540572,54.63,0.104981210700567,"中國國民黨"
"32","嘉義縣","大林鎮",0.571232369132588,45.35,0.25960831120747,"民主進步黨"
"33","臺東縣","大武鄉",0.575529109871145,62.83,0.0839899572319825,"中國國民黨"
"34","高雄市","大社區",0.575880738156567,49.52,0.162925561705507,"民主進步黨"
"35","彰化縣","大城鄉",0.605830231042782,50.78,0.193048899257152,"中國國民黨"
"36","嘉義縣","大埔鄉",0.584058007891862,56.07,0.0416586550595015,"民主進步黨"
"37","雲林縣","大埤鄉",0.587769396891284,53.96,0.08926871180742,"中國國民黨"
"38","苗栗縣","大湖鄉",0.601854352079465,61.84,0.0267555755506714,"中國國民黨"
"39","臺中市","大雅區",0.600435425664713,57.04,0.0526567771120494,"中國國民黨"
"40","桃園市","大園區",0.589147302085309,61.42,0.0407891532313436,"民主進步黨"
"41","桃園市","大溪區",0.590587526269159,60.25,0.0197717406321011,"民主進步黨"
"42","高雄市","大寮區",0.58572873575755,52.17,0.12273094835643,"中國國民黨"
"43","高雄市","大樹區",0.596852778609485,50.38,0.184701823361423,"民主進步黨"
"44","高雄市","小港區",0.594137127696367,51.7,0.149201407536494,"中國國民黨"
"45","臺南市","山上區",0.594825166959946,37.37,0.591718402354686,"民主進步黨"
"46","基隆市","中山區",0.585368446608359,54.49,0.074267657567185,"民主進步黨"
"47","臺北市","中山區",0.568367191239737,41.55,0.367911410925963,"無"
"48","基隆市","中正區",0.583303045807517,52.79,0.104949887871787,"民主進步黨"
"49","臺北市","中正區",0.591989080839198,41.83,0.415226107672,"中國國民黨"
"50","臺南市","中西區",0.546499941578359,37.54,0.455780345174104,"民主進步黨"
"51","新北市","中和區",0.607012463514849,63.31,0.04120602825012,"中國國民黨"
"52","嘉義縣","中埔鄉",0.580746938785183,48.74,0.191520186264224,"民主進步黨"
"53","臺中市","中區",0.571964415035969,53.29,0.0733053387802014,"中國國民黨"
"54","南投縣","中寮鄉",0.601655663244347,70.31,0.144281520062086,"中國國民黨"
"55","桃園市","中壢區",0.613838529319205,48.8,0.257865838768864,"民主進步黨"
"56","新北市","五股區",0.57515489020606,52.23,0.1011964200767,"中國國民黨"
"57","新竹縣","五峰鄉",0.607476705337505,45.33,0.34012068241232,"中國國民黨"
"58","宜蘭縣","五結鄉",0.592105041433973,47.07,0.257924455988896,"中國國民黨"
"59","高雄市","仁武區",0.602677835290212,51.4,0.172524971381735,"中國國民黨"
"60","基隆市","仁愛區",0.576305915453094,55.87,0.0315122882639944,"民主進步黨"
"61","南投縣","仁愛鄉",0.623658879005858,84.82,0.264726622251994,"中國國民黨"
"62","臺南市","仁德區",0.575479701867114,36.41,0.580553973817945,"民主進步黨"
"63","雲林縣","元長鄉",0.590549600383908,53.11,0.111936735800995,"中國國民黨"
"64","高雄市","內門區",0.592668178229528,53.81,0.101408991320438,"中國國民黨"
"65","屏東縣","內埔鄉",0.574643060781034,61.3,0.0625724946475787,"民主進步黨"
"66","臺北市","內湖區",0.591157606170572,43.7,0.352763400847992,"無"
"67","苗栗縣","公館鄉",0.610509197157826,61.4,0.00568534664849252,"中國國民黨"
"68","臺南市","六甲區",0.561653012947674,43.24,0.298920011442354,"民主進步黨"
"69","嘉義縣","六腳鄉",0.579831249300811,60.65,0.0439715592731886,"民主進步黨"
"70","高雄市","六龜區",0.594826090737717,54.29,0.0956457740610011,"中國國民黨"
"71","臺中市","太平區",0.61023655472794,56.62,0.0777756176756266,"中國國民黨"
"72","嘉義縣","太保市",0.593622916924871,51.8,0.14599018711365,"民主進步黨"
"73","臺東縣","太麻里鄉",0.593101267831651,63.74,0.0694991091439423,"中國國民黨"
"74","臺北市","文山區",0.610942895858993,47.15,0.29574315134463,"中國國民黨"
"75","雲林縣","斗六市",0.609184183617752,55.08,0.105998880932737,"中國國民黨"
"76","雲林縣","斗南鎮",0.584714885392018,52.06,0.123155753730345,"中國國民黨"
"77","嘉義縣","水上鄉",0.591090206035375,50.45,0.171635690853071,"民主進步黨"
"78","南投縣","水里鄉",0.6208753049914,69.89,0.111639283171555,"中國國民黨"
"79","雲林縣","水林鄉",0.599127882003128,50.78,0.179850102408681,"民主進步黨"
"80","宜蘭縣","冬山鄉",0.597786505290696,45.83,0.304356328367217,"中國國民黨"
"81","臺中市","北屯區",0.613707318742496,60.67,0.0115498907903346,"中國國民黨"
"82","彰化縣","北斗鎮",0.594573693970519,49.47,0.201887394320839,"中國國民黨"
"83","臺北市","北投區",0.579756011055958,41.8,0.386976103004685,"無"
