"","countryname","townname","ref","vot","rate","party"
"1","臺南市","七股區",0.661426220118548,43.39,0.524374787090454,"民主進步黨"
"2","澎湖縣","七美鄉",0.562657107746981,51.36,0.0955161755198226,"中國國民黨"
"3","基隆市","七堵區",0.61159735992023,57.5,0.0636475824699647,"民主進步黨"
"4","屏東縣","九如鄉",0.615215944671879,67.75,0.091932184986157,"民主進步黨"
"5","彰化縣","二水鄉",0.64854991382602,49.11,0.320606625587498,"民主進步黨"
"6","彰化縣","二林鎮",0.61541953217814,54.42,0.130870143657001,"中國國民黨"
"7","雲林縣","二崙鄉",0.587050816432889,48.78,0.203466208349506,"民主進步黨"
"8","新北市","八里區",0.580111701742128,54,0.0742809291520892,"中國國民黨"
"9","桃園市","八德區",0.60029746171025,54.93,0.0928408186969774,"民主進步黨"
"10","高雄市","三民區",0.628850204864411,52.79,0.19122978758176,"中國國民黨"
"11","屏東縣","三地門鄉",0.668407487929337,56.14,0.190608279175877,"中國國民黨"
"12","新北市","三芝區",0.587138097509373,59.4,0.0115520243949941,"中國國民黨"
"13","宜蘭縣","三星鄉",0.593504681107042,47.48,0.250009859113399,"中國國民黨"
"14","新北市","三重區",0.585105197661068,50.22,0.165084025609455,"民主進步黨"
"15","新北市","三峽區",0.599658730321074,57.36,0.0454301435165163,"中國國民黨"
"16","苗栗縣","三義鄉",0.611640544662933,59.08,0.0352751263759865,"中國國民黨"
"17","苗栗縣","三灣鄉",0.590697262784695,67.26,0.121770349710534,"中國國民黨"
"18","臺南市","下營區",0.627416559852947,42.59,0.473154636893511,"民主進步黨"
"19","雲林縣","口湖鄉",0.606978616422272,53.85,0.127165490106354,"中國國民黨"
"20","新北市","土城區",0.594872943707944,56.15,0.0594353405306214,"中國國民黨"
"21","雲林縣","土庫鎮",0.592428568758507,58.4,0.0144324807508682,"中國國民黨"
"22","臺北市","士林區",0.589188485915543,41.21,0.429722120639511,"無"
"23","臺南市","大內區",0.625762594563748,39.13,0.599188843761177,"民主進步黨"
