"","countryname","townname","ref","vot","rate","party"
"1","臺南市","七股區",0.603276038881731,43.39,0.39035731477698,"民主進步黨"
"2","澎湖縣","七美鄉",0.476298589711948,51.36,0.0726273564798514,"中國國民黨"
"3","基隆市","七堵區",0.457108572114952,57.5,0.205028570234866,"民主進步黨"
"4","屏東縣","九如鄉",0.573011384776403,67.75,0.154226738337413,"民主進步黨"
"5","彰化縣","二水鄉",0.481870733922772,49.11,0.0187930484162655,"民主進步黨"
"6","彰化縣","二林鎮",0.431446634346491,54.42,0.207191043097223,"中國國民黨"
"7","雲林縣","二崙鄉",0.555002821275281,48.78,0.137767161285939,"民主進步黨"
"8","新北市","八里區",0.45536180123625,54,0.156737405118056,"中國國民黨"
"9","桃園市","八德區",0.420450605461548,54.93,0.234570170286641,"民主進步黨"
"10","高雄市","三民區",0.503743787213961,52.79,0.045759069494297,"中國國民黨"
"11","屏東縣","三地門鄉",0.377241623262087,56.14,0.328034158777901,"中國國民黨"
"12","新北市","三芝區",0.471548105135704,59.4,0.206147971152014,"中國國民黨"
"13","宜蘭縣","三星鄉",0.544980442370317,47.48,0.147810535742033,"中國國民黨"
"14","新北市","三重區",0.507873445861288,50.22,0.0112971841124807,"民主進步黨"
"15","新北市","三峽區",0.461241447421127,57.36,0.195883111190503,"中國國民黨"
"16","苗栗縣","三義鄉",0.344308243788133,59.08,0.41721691978989,"中國國民黨"
"17","苗栗縣","三灣鄉",0.369415382071143,67.26,0.45076511734888,"中國國民黨"
"18","臺南市","下營區",0.590325722164888,42.59,0.386066499565363,"民主進步黨"
"19","雲林縣","口湖鄉",0.542476286212674,53.85,0.00738400410895812,"中國國民黨"
"20","新北市","土城區",0.466366933384082,56.15,0.169426654703326,"中國國民黨"
"21","雲林縣","土庫鎮",0.498786058342669,58.4,0.145914283659813,"中國國民黨"
"22","臺北市","士林區",0.476472999762736,41.21,0.156207230678806,"無"
"23","臺南市","大內區",0.561709516728761,39.13,0.435495826038234,"民主進步黨"
"24","臺中市","大甲區",0.442129292582978,54.71,0.191867496649647,"中國國民黨"
"25","臺北市","大同區",0.522671544944245,45.29,0.154055078260642,"無"
"26","宜蘭縣","大同鄉",0.386498441420057,86.02,0.550687698883915,"中國國民黨"
"27","臺中市","大安區",0.450011932906997,56.62,0.205206759259984,"中國國民黨"
"28","臺北市","大安區",0.410461164058178,45.73,0.102424745116602,"中國國民黨"
"29","彰化縣","大村鄉",0.447216438854216,50.73,0.118437928534957,"中國國民黨"
"30","臺中市","大肚區",0.434866530626098,56.1,0.224836843803747,"中國國民黨"
"31","臺中市","大里區",0.44560427949246,54.63,0.184323120094345,"中國國民黨"
"32","嘉義縣","大林鎮",0.510551574281844,45.35,0.125802809882787,"民主進步黨"
"33","臺東縣","大武鄉",0.382700735384701,62.83,0.390894898321342,"中國國民黨"
"34","高雄市","大社區",0.527525682939532,49.52,0.0652780350152107,"民主進步黨"
"35","彰化縣","大城鄉",0.463476260523828,50.78,0.0872858201578812,"中國國民黨"
"36","嘉義縣","大埔鄉",0.476702993673599,56.07,0.149807394910649,"民主進步黨"
"37","雲林縣","大埤鄉",0.515882472228166,53.96,0.0439539061746368,"中國國民黨"
"38","苗栗縣","大湖鄉",0.358727013168064,61.84,0.419911039508305,"中國國民黨"
"39","臺中市","大雅區",0.418090259755911,57.04,0.267022686262429,"中國國民黨"
"40","桃園市","大園區",0.466505450837544,61.42,0.240466540479415,"民主進步黨"
"41","桃園市","大溪區",0.457288546978442,60.25,0.241014859786819,"民主進步黨"
"42","高雄市","大寮區",0.50474656906004,52.17,0.032496513206747,"中國國民黨"
"43","高雄市","大樹區",0.539597777168907,50.38,0.0710555322923909,"民主進步黨"
"44","高雄市","小港區",0.495164034547585,51.7,0.0422359099659866,"中國國民黨"
"45","臺南市","山上區",0.568053206673102,37.37,0.520078155400328,"民主進步黨"
"46","基隆市","中山區",0.450754434538559,54.49,0.172775858802424,"民主進步黨"
"47","臺北市","中山區",0.46673370032996,41.55,0.123306137978244,"無"
"48","基隆市","中正區",0.434311101769034,52.79,0.177285277952199,"民主進步黨"
"49","臺北市","中正區",0.426623083807123,41.83,0.0198974033160968,"中國國民黨"
"50","臺南市","中西區",0.547752971807818,37.54,0.459118198742189,"民主進步黨"
"51","新北市","中和區",0.410666319936521,63.31,0.351340515026819,"中國國民黨"
"52","嘉義縣","中埔鄉",0.511055046495824,48.74,0.0485331278125245,"民主進步黨"
"53","臺中市","中區",0.485874013142406,53.29,0.0882454247656103,"中國國民黨"
"54","南投縣","中寮鄉",0.449943323623767,70.31,0.36005785290319,"中國國民黨"
"55","桃園市","中壢區",0.387381563226104,48.8,0.206185321257983,"民主進步黨"
"56","新北市","五股區",0.490522475898493,52.23,0.0608415165642487,"中國國民黨"
"57","新竹縣","五峰鄉",0.350431306878938,45.33,0.226932921070068,"中國國民黨"
"58","宜蘭縣","五結鄉",0.512173794647734,47.07,0.0881108872907039,"中國國民黨"
"59","高雄市","仁武區",0.507565851843677,51.4,0.0125177979695007,"中國國民黨"
"60","基隆市","仁愛區",0.478775769444639,55.87,0.143053929757224,"民主進步黨"
"61","南投縣","仁愛鄉",0.336389530135754,84.82,0.603407769233961,"中國國民黨"
"62","臺南市","仁德區",0.498275071236019,36.41,0.368511593617192,"民主進步黨"
"63","雲林縣","元長鄉",0.528031028913938,53.11,0.00577851833188125,"中國國民黨"
"64","高雄市","內門區",0.512212356840759,53.81,0.0481093535759912,"中國國民黨"
"65","屏東縣","內埔鄉",0.519115219741021,61.3,0.153156248383327,"民主進步黨"
"66","臺北市","內湖區",0.425845664210334,43.7,0.0255247958573601,"無"
"67","苗栗縣","公館鄉",0.375141417019904,61.4,0.389020493452926,"中國國民黨"
