"","countryname","townname","ref","vot","rate","party"
"1","臺南市","七股區",0.755637496947562,43.39,0.741501491006134,"民主進步黨"
"2","澎湖縣","七美鄉",0.756616155894882,51.36,0.47316229730312,"中國國民黨"
"3","基隆市","七堵區",0.76338783419156,57.5,0.327631015985322,"民主進步黨"
"4","屏東縣","九如鄉",0.750973827078216,67.75,0.10844845325198,"民主進步黨"
"5","彰化縣","二水鄉",0.753242533389032,49.11,0.533786465870559,"民主進步黨"
"6","彰化縣","二林鎮",0.772810034689492,54.42,0.420084591491166,"中國國民黨"
"7","雲林縣","二崙鄉",0.739654061499697,48.78,0.51630598913427,"民主進步黨"
"8","新北市","八里區",0.774542273091018,54,0.434337542761144,"中國國民黨"
"9","桃園市","八德區",0.796134760151266,54.93,0.449362388769826,"民主進步黨"
"10","高雄市","三民區",0.760734444789681,52.79,0.441057860938967,"中國國民黨"
"11","屏東縣","三地門鄉",0.726860676222484,56.14,0.294728671575496,"中國國民黨"
"12","新北市","三芝區",0.753636229527063,59.4,0.268747861156673,"中國國民黨"
"13","宜蘭縣","三星鄉",0.74986407516587,47.48,0.579326190324073,"中國國民黨"
"14","新北市","三重區",0.756107065436834,50.22,0.505589536911259,"民主進步黨"
"15","新北市","三峽區",0.772478033298964,57.36,0.346719025974484,"中國國民黨"
"16","苗栗縣","三義鄉",0.803418842536948,59.08,0.359882942682714,"中國國民黨"
"17","苗栗縣","三灣鄉",0.753235838466677,67.26,0.11988676548718,"中國國民黨"
"18","臺南市","下營區",0.761525663128018,42.59,0.788038654914342,"民主進步黨"
"19","雲林縣","口湖鄉",0.744643149749762,53.85,0.382809934539947,"中國國民黨"
"20","新北市","土城區",0.771600023521318,56.15,0.374176355336274,"中國國民黨"
"21","雲林縣","土庫鎮",0.756858963315813,58.4,0.295991375540777,"中國國民黨"
"22","臺北市","士林區",0.747009341152911,41.21,0.812689495639192,"無"
"23","臺南市","大內區",0.75306654586678,39.13,0.924524778601534,"民主進步黨"
"24","臺中市","大甲區",0.792617051990658,54.71,0.448760833468575,"中國國民黨"
"25","臺北市","大同區",0.736253339290408,45.29,0.625642171098272,"無"
"26","宜蘭縣","大同鄉",0.757215161840939,86.02,0.119721969494375,"中國國民黨"
"27","臺中市","大安區",0.783889832007436,56.62,0.384475153669086,"中國國民黨"
"28","臺北市","大安區",0.767365897148528,45.73,0.678036075111585,"中國國民黨"
"29","彰化縣","大村鄉",0.780009591725381,50.73,0.537570651932547,"中國國民黨"
"30","臺中市","大肚區",0.79388450572913,56.1,0.415123896130356,"中國國民黨"
"31","臺中市","大里區",0.78959199048069,54.63,0.445345031083087,"中國國民黨"
"32","嘉義縣","大林鎮",0.766899053441606,45.35,0.691067372528348,"民主進步黨"
"33","臺東縣","大武鄉",0.714459992892037,62.83,0.137131932026161,"中國國民黨"
"34","高雄市","大社區",0.749032400163652,49.52,0.512585622301398,"民主進步黨"
"35","彰化縣","大城鄉",0.766413072136722,50.78,0.509281355133364,"中國國民黨"
"36","嘉義縣","大埔鄉",0.760937918623311,56.07,0.357121310189605,"民主進步黨"
"37","雲林縣","大埤鄉",0.728105671323124,53.96,0.349343349375693,"中國國民黨"
"38","苗栗縣","大湖鄉",0.779430555748611,61.84,0.260398699464119,"中國國民黨"
"39","臺中市","大雅區",0.807259241487351,57.04,0.415251124627193,"中國國民黨"
"40","桃園市","大園區",0.779352297671665,61.42,0.268890097153476,"民主進步黨"
"41","桃園市","大溪區",0.770641699709461,60.25,0.279073360513628,"民主進步黨"
"42","高雄市","大寮區",0.769540346054049,52.17,0.475062959658902,"中國國民黨"
